,SPX,EPS,TBill,EP,Spread,Signal,SPX_ret,TBill_ret,Strategy_ret
1999-07-30,1328.72,53.1215,0.053425,0.039979453910530434,-0.013445546089469566,0,-0.0062541393220543195,0.004452083333333333,0.004452083333333333
1999-08-31,1320.41,52.8683,0.0552,0.0400393059731447,-0.015160694026855298,0,-0.02855173771783015,0.0046,0.0046
1999-09-30,1282.71,50.9009,0.0608375,0.039682313227463725,-0.021155186772536277,0,0.06253946722174142,0.005069791666666667,0.005069791666666667
1999-10-29,1362.93,50.8272,0.061849999999999995,0.037292597565538946,-0.02455740243446105,0,0.01906187405075821,0.005154166666666666,0.005154166666666666
1999-11-30,1388.91,52.1425,0.06115,0.03754202936115371,-0.023607970638846294,0,0.05784392077240419,0.005095833333333333,0.005095833333333333
1999-12-31,1469.25,50.5223,0.060012499999999996,0.034386455674663946,-0.02562604432533605,0,-0.050903522205206664,0.005001041666666667,0.005001041666666667
2000-01-31,1394.46,50.9973,0.060774999999999996,0.03657136095692957,-0.024203639043070428,0,-0.020108142219927405,0.005064583333333333,0.005064583333333333
2000-02-29,1366.42,59.089,0.061087499999999996,0.04324365861155428,-0.01784384138844572,0,0.09671989578606865,0.005090625,0.005090625
2000-03-31,1498.58,60.4961,0.0629,0.04036894927197747,-0.022531050728022528,0,-0.030795820042973876,0.005241666666666666,0.005241666666666666
2000-04-28,1452.43,60.6582,0.065025,0.041763251929525,-0.023261748070475,0,-0.02191499762467053,0.00541875,0.00541875
2000-05-31,1420.6,59.7641,0.06862499999999999,0.04206961847106856,-0.02655538152893143,0,0.023933549204561366,0.005718749999999999,0.005718749999999999
2000-06-30,1454.6,59.5,0.0676938,0.04090471607314726,-0.02678908392685274,0,-0.016341262202667406,0.00564115,0.00564115
2000-07-31,1430.83,59.4845,0.0672188,0.04157342241915531,-0.025645377580844682,0,0.06069903482594019,0.005601566666666666,0.005601566666666666
2000-08-31,1517.68,61.0743,0.0668,0.04024188234673976,-0.026558117653260237,0,-0.053482947656950164,0.005566666666666667,0.005566666666666667
2000-09-29,1436.51,59.2299,0.0681125,0.04123180486039081,-0.026880695139609195,0,-0.00494949565265812,0.005676041666666667,0.005676041666666667
2000-10-31,1429.4,58.9263,0.0676,0.04122449979012172,-0.02637550020987827,0,-0.0800685602350637,0.005633333333333333,0.005633333333333333
2000-11-30,1314.95,56.8472,0.06715,0.04323145366743983,-0.023918546332560173,0,0.004053386060306474,0.005595833333333334,0.005595833333333334
2000-12-29,1320.28,55.4173,0.0639875,0.041973899475868756,-0.022013600524131247,0,0.03463659223801008,0.005332291666666667,0.005332291666666667
2001-01-31,1366.01,55.6983,0.0542125,0.04077444528224537,-0.013438054717754624,0,-0.09229068601254742,0.004517708333333333,0.004517708333333333
2001-02-28,1239.94,59.172,0.050525,0.047721663951481516,-0.0028033360485184844,0,-0.06420471958320573,0.004210416666666667,0.004210416666666667
2001-03-30,1160.33,57.2876,0.048787500000000004,0.04937181663837012,0.0005843166383701151,1,0.07681435453707142,0.004065625000000001,0.07681435453707142
2001-04-30,1249.46,56.1659,0.0433625,0.04495213932418805,0.0015896393241880483,1,0.0050901989659533076,0.0036135416666666664,0.0050901989659533076
2001-05-31,1255.82,54.9337,0.039900000000000005,0.04374329123600516,0.0038432912360051585,1,-0.025003583316080213,0.0033250000000000003,-0.025003583316080213
2001-06-29,1224.42,53.7996,0.0383625,0.0439388445141373,0.005576344514137299,1,-0.010772447362833004,0.003196875,-0.010772447362833004
2001-07-31,1211.23,52.0422,0.036699999999999997,0.0429664060500483,0.006266406050048301,1,-0.06410838569057908,0.003058333333333333,-0.06410838569057908
2001-08-31,1133.58,50.6496,0.034624999999999996,0.04468109881966866,0.010056098819668666,1,-0.08172338961520131,0.0028854166666666663,-0.08172338961520131
2001-09-28,1040.94,49.709,0.0259,0.04775395315772283,0.02185395315772283,1,0.01809902588045409,0.0021583333333333333,0.01809902588045409
2001-10-31,1059.78,48.7763,0.022000000000000002,0.04602492970239106,0.02402492970239106,1,0.07517597992036085,0.0018333333333333335,0.07517597992036085
