Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
5/31/2019,122.5414,436.1556,127.8173,16037.49,18.71,22.355,-0.10579,-0.84909,2.4,-0.2885,-0.32,0.99,120.1261038,179.9859569,112.1804359,172.6938,1414.2748,1147.7121,10069.5482
6/28/2019,111.5178,378.7076,113.8288,16382.2,15.08,42.946,-0.28428,-0.81741,2.4,-0.342,-0.31,0.99,121.1706947,182.8891969,113.89316,173.276,1419.4658,1133.9803,9989.1645
6/30/2019,111.5178,378.7076,113.8288,16382.2,15.08,42.946,-0.28428,-0.81741,1.8,-0.342,-0.31,0.98,121.1706947,182.8891969,113.89316,173.276,1419.4658,1133.9803,9989.1645
7/31/2019,108.5352,369.2043,107.3747,16406.56,16.12,45.556,-0.3373,-0.74778,1.4,-0.1178,-0.15,0.99,121.7566936,184.119846,114.6441924,173.7593,1422.9864,1132.4045,9892.7337
8/30/2019,122.291,392.8767,119.9501,16442.07,18.98,-2.672,-0.34941,-0.64326,1.4,-0.0975,-0.24,0.99,120.8157857,182.1287947,113.5840478,174.2191,1426.8315,1132.9146,10004.5443
8/31/2019,122.291,392.8767,119.9501,16442.07,18.98,-2.672,-0.34941,-0.64326,1.1,-0.0975,-0.24,0.97,120.8157857,182.1287947,113.5840478,174.2191,1426.8315,1132.9146,10004.5443
9/30/2019,117.8161,372.9104,114.5108,16658.63,16.24,28.612,-0.16074,-0.54897,0.2,0.332,-0.2,0.92,121.3701221,183.3664091,114.0656159,175.6835,1439.7429,1137.3807,9940.0254
10/31/2019,117.9762,387.3924,109.6971,16483.16,13.22,63.208,-0.22381,-0.85789,-0.3,0.2989,-0.17,0.84,121.4871663,183.4035605,114.8138797,174.7169,1437.4928,1131.9104,9880.3675
11/29/2019,111.3622,371.341,103.8994,17040.2,12.62,62.285,-0.22262,-0.84249,-0.3,0.1231,-0.14,0.84,122.2875849,184.2969859,115.5768986,174.3736,1438.6706,1129.686,9879.5411
11/30/2019,111.3622,371.341,103.8994,17040.2,12.62,62.285,-0.22262,-0.84249,-0.3,0.1231,-0.14,0.92,122.2875849,184.2969859,115.5768986,174.3736,1438.6706,1129.686,9879.5411
12/31/2019,103.0422,337.6567,92.8434,17063.43,13.78,83.651,-0.16328,-0.80262,-0.4,0.0574,-0.18,0.67,123.0514807,188.1827591,117.0131733,175.2711,1448.1338,1128.1878,9851.1845
1/31/2020,103.4899,386.9097,101.0942,17318.49,18.84,44.35,-0.13686,-0.77207,0.1,-0.0659,-0.17,1,123.0504939,186.085769,116.0810147,176.2825,1449.1322,1135.5678,10266.3966
2/28/2020,115.7376,503.9221,123.286,16263.05,40.11,37.496,0.11756,-0.60341,0.1,0.1944,-0.37,1,122.0630747,180.9635246,113.9384696,175.3026,1450.2941,1102.2995,10185.5016
2/29/2020,115.7376,503.9221,123.286,16263.05,40.11,37.496,0.11756,-0.60341,-0.3,0.1944,-0.37,0.99,122.0630747,180.9635246,113.9384696,175.3026,1450.2941,1102.2995,10185.5016
3/31/2020,249.6566,867.2563,284.8594,13378.75,53.54,119.939,-0.13505,-0.60954,-5.3,0.2716,-0.72,0.08,112.9365469,156.1442567,101.2213632,156.7972,1387.9636,949.1199,9867.6798
4/30/2020,192.6773,741.674,202.2298,14780.74,34.15,116.275,-0.74779,-0.77246,-10.6,0.1476,-0.43,0,116.6849325,162.9498222,106.2403274,139.9985,1340.4747,879.1301,9567.2623
5/29/2020,188.4904,641.0547,173.4947,15192.83,27.51,125.384,-0.09782,-0.17549,-10.6,0.0434,-0.25,0,117.2177971,170.25315,108.417994,138.6112,1337.2985,754.0804,9588.0396
5/31/2020,188.4904,641.0547,173.4947,15192.83,27.51,125.384,-0.09782,-0.17549,-8.9,0.0434,-0.25,0.99,117.2177971,170.25315,108.417994,138.6112,1337.2985,754.0804,9588.0396
6/30/2020,158.9714,629.3202,149.4712,15515.22,30.43,126.108,0.67824,-0.34112,-6.9,0.3385,-0.03,1,119.7947461,171.8593971,110.6942384,142.7982,1356.4681,800.2159,9213.2035
